Waste Categories over 2007-2018,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sum of tons,Column Labels,,,,,,,,,,,,
Row Labels,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Grand Total
composting,2099842.575,2130361.63,3428640.16,5259747.175,5706817.599,7263415.73,6839929.07,6748787.255,6998571.82,7936569.63,8526650.595,9336931.08,72276264.32
disposal,225696083.6,212017558.9,202909907.4,196416245.5,195181131.2,191290860.7,195010252.3,198219892.9,204368609.2,215963875.5,229304145.7,237277979.4,2503656542
recycling,23962175.91,21413955.57,20095525.26,20478837.58,22326216.08,22987745.92,23765841.02,22184107.64,22144656.75,22465262.78,22997484.77,22590460.87,267412270.2
Grand Total,251758102,235561876.1,226434072.8,222154830.3,223214164.9,221542022.3,225616022.4,227152787.8,233511837.8,246365707.9,260828281.1,269205371.4,2843345077
,,,,,,,,,,,,,
Pivot Table to categorize waste over the years.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category Percentages over 2007-2018,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Composting,0.83%,0.90%,1.51%,2.37%,2.56%,3.28%,3.03%,2.97%,3.00%,3.22%,3.27%,3.47%,
Disposal,89.65%,90.01%,89.61%,88.41%,87.44%,86.35%,86.43%,87.26%,87.52%,87.66%,87.91%,88.14%,
Recycling,9.52%,9.09%,8.87%,9.22%,10.00%,10.38%,10.53%,9.77%,9.48%,9.12%,8.82%,8.39%,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Populations,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
,306549078,309496203,312260483,314876899,317178072,319521066,321753907,324137984,326566008,328950364,331056977,332836184,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pounds Per Capita,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
,1642.53048,1522.227891,1450.289647,1411.058296,1407.50061,1386.71309,1402.413568,1401.580802,1430.104984,1497.889864,1575.730458,1617.644862,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total Tons,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
composting,2099842.575,2130361.63,3428640.16,5259747.175,5706817.599,7263415.73,6839929.07,6748787.255,6998571.82,7936569.63,8526650.595,9336931.08,
disposal,225696083.6,212017558.9,202909907.4,196416245.5,195181131.2,191290860.7,195010252.3,198219892.9,204368609.2,215963875.5,229304145.7,237277979.4,
recycling,23962175.91,21413955.57,20095525.26,20478837.58,22326216.08,22987745.92,23765841.02,22184107.64,22144656.75,22465262.78,22997484.77,22590460.87,
Grand Total,251758102,235561876.1,226434072.8,222154830.3,223214164.9,221542022.3,225616022.4,227152787.8,233511837.8,246365707.9,260828281.1,269205371.4,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
